cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,polintr,trstprl,trstplt,vote,lrscale,gincdif,imbgeco,imueclt,imwbcnt,gndr,agea,eisced,eduyrs,mnactic
DE,ESS1-8e01,1.0,12.12.2018,66876,ESS1e06_6,1,6.6,101114,1.2572,2.35826134199032,2.39215484755053,4,0,0,2,8,4,0,0,0,1,26,3,10,3
DE,ESS1-8e01,1.0,12.12.2018,66877,ESS1e06_6,1,6.6,101120,1.2572,2.35826134199032,2.39215484755053,1,7,4,1,3,3,5,7,5,1,31,3,11,1
DE,ESS1-8e01,1.0,12.12.2018,66878,ESS1e06_6,1,6.6,101126,1.2572,1.88556308187978,2.39215484755053,3,4,4,2,10,4,0,0,1,1,60,3,9,1
DE,ESS1-8e01,1.0,12.12.2018,66879,ESS1e06_6,1,6.6,101304,1.2572,1.49938837657783,2.39215484755053,2,6,2,1,6,5,5,6,6,2,48,3,10,8
DE,ESS1-8e01,1.0,12.12.2018,66880,ESS1e06_6,1,6.6,101322,1.2572,2.35826134199032,2.39215484755053,3,3,1,2,8,4,0,4,2,1,32,3,9,3
DE,ESS1-8e01,1.0,12.12.2018,66881,ESS1e06_6,1,6.6,101405,1.2572,2.35826134199032,2.39215484755053,2,3,4,2,2,3,4,7,6,1,25,4,13,9
DE,ESS1-8e01,1.0,12.12.2018,66882,ESS1e06_6,1,6.6,101417,1.2572,1.62528070342074,2.39215484755053,1,7,7,1,5,4,4,2,3,2,60,3,12,6
DE,ESS1-8e01,1.0,12.12.2018,66883,ESS1e06_6,1,6.6,101429,1.2572,4.11270130348992,2.39215484755053,1,7,4,1,6,2,5,5,5,1,46,2,11,1
DE,ESS1-8e01,1.0,12.12.2018,66884,ESS1e06_6,1,6.6,101512,1.2572,1.88556308187978,2.39215484755053,2,6,3,1,3,4,6,7,4,1,62,3,12,1
DE,ESS1-8e01,1.0,12.12.2018,66885,ESS1e06_6,1,6.6,101601,1.2572,1.8954987311992,2.39215484755053,3,7,2,1,3,2,5,7,5,1,38,3,10,1
DE,ESS1-8e01,1.0,12.12.2018,66886,ESS1e06_6,1,6.6,101625,1.2572,1.62528070342074,2.39215484755053,2,4,4,2,7,2,4,4,4,2,56,3,10,8
DE,ESS1-8e01,1.0,12.12.2018,66887,ESS1e06_6,1,6.6,101631,1.2572,1.49938837657783,2.39215484755053,1,0,3,1,5,3,88,10,7,2,53,3,9,1
DE,ESS1-8e01,1.0,12.12.2018,66888,ESS1e06_6,1,6.6,102120,1.2572,1.49938837657783,2.39215484755053,1,6,7,1,7,2,5,6,4,2,49,3,13,6
DE,ESS1-8e01,1.0,12.12.2018,66889,ESS1e06_6,1,6.6,102203,1.2572,1.99078020154015,2.39215484755053,3,8,7,1,6,3,7,7,6,2,24,5,16,2
DE,ESS1-8e01,1.0,12.12.2018,66890,ESS1e06_6,1,6.6,102209,1.2572,1.8954987311992,2.39215484755053,2,6,4,1,6,2,6,4,4,1,43,3,12,1
